record_id,road_name,contractor_name,allotted_budget_inr,amount_used_inr,budget_note,materials_used,audit_1_date,audit_1_status,audit_1_remarks,audit_2_date,audit_2_status,audit_2_remarks,audit_3_date,audit_3_status,audit_3_remarks,construction_start_date,construction_end_date,date_opened_to_public,last_maintenance_date
RW011,Nungambakkam Loop Road,Ponni Constructions,74500000,72707974,Within budget,Salt-resistant bituminous mix (coastal formulation) | Corrosion-resistant reinforcement (HYSD Fe415D) | Fibre-reinforced concrete (polypropylene fibres) | Marine-grade epoxy coating for kerbs | Anti-skid surface dressing | HDPE geo-membrane (damp-proofing) | LED cat eyes,09-Nov-2019,Passed,Quality of base layer found satisfactory. Compaction density above 98% Proctor.,30-Dec-2019,Passed,Riding quality index satisfactory. Surface texture depth adequate.,15-May-2020,Passed,Bitumen content tested within acceptable range. Layer thickness meets IRC norms.,05-Sep-2019,08-Apr-2020,02-May-2020,04-Oct-2020
RW012,Annadurai Salai,Siva Shakti Construction Co.,11200000,9631104,Within budget,Dense Bituminous Macadam (DBM) Layer I & II | Open graded premix carpet (OGPC) | Bitumen VG-30 | Crushed stone aggregate (10mm & 6mm) | Cement concrete kerbs | Epoxy road marking paint | Speed breaker rubber pads | PVC stormwater pipes (315mm dia),28-Nov-2020,Passed,"Road surface free of bleeding, rutting, or cracking. Excellent condition.",26-May-2021,Passed,"All road furniture, lighting, and markings in place. Final audit cleared.",14-Nov-2021,Passed,"Road surface free of bleeding, rutting, or cracking. Excellent condition.",24-Jul-2020,29-Sep-2021,09-Nov-2021,14-Sep-2022
RW013,Porur Ring Road,Metro Build Solutions Pvt. Ltd.,17900000,16102869,Within budget,Prestressed concrete slabs | Bituminous concrete (60/70 grade) | High-strength bolts (Grade 8.8) | Expansion joints (neoprene) | Anti-glare screens | Thermoplastic road marking tape | High-mast LED lighting supports | Rubberised asphalt | RCC culverts (2m x 1.5m) | Geogrid reinforcement,13-Aug-2022,Failed,Bitumen content found low at 4.1% against required 4.8%. Layer to be redone.,08-Sep-2022,Passed,"All road furniture, lighting, and markings in place. Final audit cleared.",03-Feb-2023,Passed,Anti-skid surface dressing properly applied. Skid resistance test passed.,14-Aug-2021,28-Jan-2023,10-Feb-2023,30-Mar-2025
RW014,Vikram Junction Road,Lakshmi Infra Pvt. Ltd.,22300000,19824617,Within budget,Dense Bituminous Macadam (DBM) Layer I & II | Open graded premix carpet (OGPC) | Bitumen VG-30 | Crushed stone aggregate (10mm & 6mm) | Cement concrete kerbs | Epoxy road marking paint | Speed breaker rubber pads | PVC stormwater pipes (315mm dia),01-Jan-2024,Passed,Concrete cube strength at 28 days exceeds design strength. Approved.,26-Jan-2024,Passed,Speed breakers conform to IRC:99-2018 specifications. Heights verified.,07-Apr-2024,Passed,"Road surface free of bleeding, rutting, or cracking. Excellent condition.",26-Nov-2023,02-Apr-2024,10-May-2024,25-Apr-2025
RW015,Kolathur Ring Road,Sterling Road Builders,49000000,42779410,Within budget,Bituminous Macadam (BM) Grade 2 | Dense Bituminous Macadam (DBM) | Steel reinforcement bars (Fe500) | Portland Pozzolana Cement (PPC) | Coarse aggregates (20mm & 40mm) | Kerb stones (Granite) | Thermoplastic road marking paint | Reflective studs,26-Jul-2021,Passed,Load deflection within permissible limits as per IRC:58-2015.,28-Sep-2021,Conditional Pass,Joint sealing incomplete at 3 locations. Surface texture satisfactory. Close in 2 weeks.,02-Dec-2021,Passed,Bitumen content tested within acceptable range. Layer thickness meets IRC norms.,10-Mar-2021,21-Oct-2021,29-Nov-2021,16-Dec-2022
RW016,Kamarajar Cross Street,Coastal Roads & Builders Ltd.,13100000,12057227,Within budget,Polymer Modified Bitumen (PMB 40) | Modified Bituminous Concrete (MBC) | Basalt fibre reinforcement | Warm mix asphalt additive (Evotherm) | Recycled concrete aggregate (30% blend) | Tactile paving blocks | High-visibility road studs | Galvanised steel guard rails,29-Jan-2020,Passed,"All road furniture, lighting, and markings in place. Final audit cleared.",11-Feb-2020,Passed,Kerb stone alignment and levelling checked. Within plus/minus 5mm tolerance.,21-Mar-2020,Passed,Drainage channels functional. Road markings and signage verified.,19-Nov-2019,17-Mar-2020,28-Apr-2020,17-Oct-2020
RW017,Poonamallee Tank Road,Chennai Metro Infra Ltd.,12000000,10904297,Within budget,Fly ash concrete (M25) | Bottom ash sub-base | PVC expansion strips | Silica fume admixture | Micro-silica blended cement | Reinforced earth retaining walls | Concrete interlocking pavers (footpath) | Cast iron manhole covers (Class D),15-Jul-2022,Passed,Load deflection within permissible limits as per IRC:58-2015.,09-Oct-2022,Conditional Pass,Drainage outlet partially blocked. Debris to be cleared. Road surface approved.,10-Mar-2023,Passed,Stormwater drains clear and functional. No ponding observed during simulation.,03-Mar-2022,23-Feb-2023,25-Mar-2023,16-Mar-2024
RW018,Thiruvalluvar Main Road,Lakshmi Infra Pvt. Ltd.,71600000,70844870,Within budget,Concrete M30 grade | River sand (Zone II) | Coarse aggregate (20mm) | HDPE drainage pipes | Pre-cast kerb stones | Anti-skid bituminous surface dressing | Solar road studs | Stormwater drain gratings (Cast iron),10-Mar-2022,Failed,Improper compaction of WMM layer. Density less than 95% Proctor. Redo directed.,04-Jun-2022,Passed,Concrete cube strength at 28 days exceeds design strength. Approved.,18-Sep-2022,Passed,Crash barrier installation inspected. Meets MORTH standards.,06-Jan-2022,24-Jul-2022,04-Sep-2022,31-Aug-2023
RW019,Besant Canal Road,Green Road Solutions Pvt. Ltd.,74900000,70668213,Within budget,Polymer Modified Bitumen (PMB 40) | Modified Bituminous Concrete (MBC) | Basalt fibre reinforcement | Warm mix asphalt additive (Evotherm) | Recycled concrete aggregate (30% blend) | Tactile paving blocks | High-visibility road studs | Galvanised steel guard rails,02-Jan-2021,Failed,Improper compaction of WMM layer. Density less than 95% Proctor. Redo directed.,17-Feb-2021,Passed,Load deflection within permissible limits as per IRC:58-2015.,03-Jan-2022,Passed,All manhole covers flush with road surface. No tripping hazards found.,05-Sep-2020,08-Nov-2021,24-Nov-2021,09-Jul-2022
RW020,MGR Cross Street,National Highway Infra Builders,78300000,69448791,Within budget,Salt-resistant bituminous mix (coastal formulation) | Corrosion-resistant reinforcement (HYSD Fe415D) | Fibre-reinforced concrete (polypropylene fibres) | Marine-grade epoxy coating for kerbs | Anti-skid surface dressing | HDPE geo-membrane (damp-proofing) | LED cat eyes,01-Mar-2021,Passed,Sub-base CBR value above permissible limit. Approved to proceed.,18-May-2021,Conditional Pass,Speed breaker height at 3rd location slightly above tolerance. Grind and re-inspect.,26-Dec-2021,Passed,Joints sealed properly. No cracking observed. Road certified for use.,29-May-2020,03-Nov-2021,16-Nov-2021,19-May-2022
RW021,Srinivasa Outer Ring Road,Saravana Civil Engineers Ltd.,51700000,44754743,Within budget,Lime-treated soil (sub-base) | Wet Mix Macadam (WMM) | Bituminous Concrete (BC) Grade 1 | Fly ash bricks (side drains) | White retro-reflective paint | Flexible delineators | RCC manholes | Geotextile fabric,28-Mar-2022,Failed,Sub-base CBR value below permissible limit. Contractor directed to redo with lime treatment.,01-Apr-2022,Passed,Thermoplastic markings retroreflectivity tested and found satisfactory.,06-Jun-2022,Passed,Anti-skid surface dressing properly applied. Skid resistance test passed.,22-Jan-2022,10-May-2022,12-Jun-2022,28-Apr-2024
RW022,Poonamallee Street,Annamalai Construction Co.,65300000,59220102,Within budget,Fly ash concrete (M25) | Bottom ash sub-base | PVC expansion strips | Silica fume admixture | Micro-silica blended cement | Reinforced earth retaining walls | Concrete interlocking pavers (footpath) | Cast iron manhole covers (Class D),25-Jul-2023,Passed,Stormwater drains clear and functional. No ponding observed during simulation.,25-Aug-2023,Conditional Pass,Drainage outlet partially blocked. Debris to be cleared. Road surface approved.,11-Sep-2023,Passed,"All road furniture, lighting, and markings in place. Final audit cleared.",15-Mar-2023,31-Aug-2023,25-Sep-2023,07-Jun-2024
RW023,Guindy Nagar Road,Green Road Solutions Pvt. Ltd.,79800000,80000000,"Overrun of Rs.200,000 approved. Reason: Emergency utility relocation",Dense Bituminous Macadam (DBM) Layer I & II | Open graded premix carpet (OGPC) | Bitumen VG-30 | Crushed stone aggregate (10mm & 6mm) | Cement concrete kerbs | Epoxy road marking paint | Speed breaker rubber pads | PVC stormwater pipes (315mm dia),17-Aug-2020,Passed,Anti-skid surface dressing properly applied. Skid resistance test passed.,07-Jun-2021,Passed,Kerb stone alignment and levelling checked. Within plus/minus 5mm tolerance.,24-Aug-2021,Passed,Stormwater drains clear and functional. No ponding observed during simulation.,13-Feb-2020,05-Jul-2021,13-Aug-2021,04-Nov-2022
RW024,Egmore Salai,Kavi Civil & Infrastructure Co.,36500000,33628063,Within budget,Polymer Modified Bitumen (PMB 40) | Modified Bituminous Concrete (MBC) | Basalt fibre reinforcement | Warm mix asphalt additive (Evotherm) | Recycled concrete aggregate (30% blend) | Tactile paving blocks | High-visibility road studs | Galvanised steel guard rails,20-Dec-2020,Failed,Pothole formation near storm drain. Emergency patching and proper sealing ordered.,14-Feb-2021,Passed,Stormwater drains clear and functional. No ponding observed during simulation.,09-Mar-2021,Passed,Speed breakers conform to IRC:99-2018 specifications. Heights verified.,09-Nov-2020,21-Feb-2021,10-Mar-2021,02-Mar-2022
RW025,Koyambedu Street,South India Roads Ltd.,67000000,57366345,Within budget,Prestressed concrete slabs | Bituminous concrete (60/70 grade) | High-strength bolts (Grade 8.8) | Expansion joints (neoprene) | Anti-glare screens | Thermoplastic road marking tape | High-mast LED lighting supports | Rubberised asphalt | RCC culverts (2m x 1.5m) | Geogrid reinforcement,14-May-2019,Failed,Pothole formation near storm drain. Emergency patching and proper sealing ordered.,07-Sep-2019,Passed,All manhole covers flush with road surface. No tripping hazards found.,22-Jan-2020,Passed,Stormwater drains clear and functional. No ponding observed during simulation.,04-Jan-2019,26-Dec-2019,08-Feb-2020,11-Apr-2022
RW026,Bhagat Singh Bridge Road,RK Road Works Pvt. Ltd.,39600000,35468358,Within budget,Rigid pavement PQC M40 grade | Dowel bars (32mm dia MS) | Tie bars (16mm dia) | Joint sealant (Polyurethane) | Sub-base GSB (Granular Sub-Base) | Drainage cells (HDPE honeycomb) | Pre-fabricated expansion joints | Solar-powered road markers,28-May-2022,Passed,Sub-grade moisture content within limits. No swelling observed.,04-Jun-2022,Conditional Pass,Reflective road studs missing at 2 km mark. Install and re-inspect. Rest of road approved.,26-Aug-2022,Passed,Kerb stone alignment and levelling checked. Within plus/minus 5mm tolerance.,09-Feb-2022,14-Jul-2022,05-Aug-2022,07-Jan-2024
RW027,Anna Bridge Road,Suresh & Sons Civil Works,29500000,27470337,Within budget,Reclaimed Asphalt Pavement (RAP) mix with virgin bitumen VG-40 | Stone matrix asphalt (SMA) top layer | Anti-stripping agent | Bituminous macadam (BM) Grade 1 | RCC box drains | Pre-cast concrete medians | Glass bead road marking | Steel crash barriers (W-beam type),27-Dec-2021,Passed,Concrete cube strength at 28 days exceeds design strength. Approved.,08-Jun-2022,Passed,Riding quality index satisfactory. Surface texture depth adequate.,11-Aug-2022,Passed,Load deflection within permissible limits as per IRC:58-2015.,10-Aug-2021,22-Jun-2022,30-Jul-2022,18-Sep-2024
RW028,Koyambedu Canal Road,Pioneer Infra Projects Pvt. Ltd.,17500000,16715288,Within budget,Rigid pavement PQC M40 grade | Dowel bars (32mm dia MS) | Tie bars (16mm dia) | Joint sealant (Polyurethane) | Sub-base GSB (Granular Sub-Base) | Drainage cells (HDPE honeycomb) | Pre-fabricated expansion joints | Solar-powered road markers,17-May-2020,Passed,Riding quality index satisfactory. Surface texture depth adequate.,27-Jun-2020,Passed,Crash barrier installation inspected. Meets MORTH standards.,04-Sep-2021,Passed,Speed breakers conform to IRC:99-2018 specifications. Heights verified.,05-Apr-2020,20-Aug-2021,11-Sep-2021,09-May-2022
RW029,Vikram Loop Road,Arjun Construction Group,48900000,46056373,Within budget,Bituminous Macadam (BM) Grade 2 | Dense Bituminous Macadam (DBM) | Steel reinforcement bars (Fe500) | Portland Pozzolana Cement (PPC) | Coarse aggregates (20mm & 40mm) | Kerb stones (Granite) | Thermoplastic road marking paint | Reflective studs,24-May-2024,Passed,Bitumen content tested within acceptable range. Layer thickness meets IRC norms.,01-Jun-2024,Passed,Expansion joints properly aligned and sealed. No spalling at edges.,11-Jun-2025,Passed,"All road furniture, lighting, and markings in place. Final audit cleared.",03-Jan-2024,21-Apr-2025,07-May-2025,04-Apr-2025
RW030,Bhagat Singh Outer Ring Road,KSR Infrastructure Pvt. Ltd.,55500000,54850924,Within budget,Fly ash concrete (M25) | Bottom ash sub-base | PVC expansion strips | Silica fume admixture | Micro-silica blended cement | Reinforced earth retaining walls | Concrete interlocking pavers (footpath) | Cast iron manhole covers (Class D),25-Aug-2021,Passed,Concrete cube strength at 28 days exceeds design strength. Approved.,13-Nov-2021,Passed,"Road surface free of bleeding, rutting, or cracking. Excellent condition.",26-Feb-2022,Passed,Crash barrier installation inspected. Meets MORTH standards.,11-Oct-2020,30-Jan-2022,09-Mar-2022,24-Feb-2024
RW031,Tambaram Bypass Road,Prime Infra Developers Ltd.,73200000,70189611,Within budget,Salt-resistant bituminous mix (coastal formulation) | Corrosion-resistant reinforcement (HYSD Fe415D) | Fibre-reinforced concrete (polypropylene fibres) | Marine-grade epoxy coating for kerbs | Anti-skid surface dressing | HDPE geo-membrane (damp-proofing) | LED cat eyes,25-Aug-2022,Passed,Expansion joints properly aligned and sealed. No spalling at edges.,17-Nov-2022,Passed,Riding quality index satisfactory. Surface texture depth adequate.,19-Feb-2023,Passed,Sub-base CBR value above permissible limit. Approved to proceed.,07-Jul-2022,04-Feb-2023,03-Mar-2023,24-Aug-2024
RW032,Gokhale Bypass Road,South India Roads Ltd.,79000000,69516318,Within budget,Prestressed concrete slabs | Bituminous concrete (60/70 grade) | High-strength bolts (Grade 8.8) | Expansion joints (neoprene) | Anti-glare screens | Thermoplastic road marking tape | High-mast LED lighting supports | Rubberised asphalt | RCC culverts (2m x 1.5m) | Geogrid reinforcement,28-Jun-2021,Passed,Sub-grade moisture content within limits. No swelling observed.,28-Aug-2021,Passed,Quality of base layer found satisfactory. Compaction density above 98% Proctor.,11-Jan-2022,Passed,Sub-grade moisture content within limits. No swelling observed.,14-Apr-2021,29-Dec-2021,11-Feb-2022,01-Sep-2023
RW033,Chromepet Service Road,Sri Balaji Infrastructure Pvt. Ltd.,44000000,39802317,Within budget,Prestressed concrete slabs | Bituminous concrete (60/70 grade) | High-strength bolts (Grade 8.8) | Expansion joints (neoprene) | Anti-glare screens | Thermoplastic road marking tape | High-mast LED lighting supports | Rubberised asphalt | RCC culverts (2m x 1.5m) | Geogrid reinforcement,29-May-2022,Passed,Kerb stone alignment and levelling checked. Within plus/minus 5mm tolerance.,12-Nov-2022,Passed,Stormwater drains clear and functional. No ponding observed during simulation.,08-May-2023,Passed,Kerb stone alignment and levelling checked. Within plus/minus 5mm tolerance.,07-Jan-2022,24-Apr-2023,07-Jun-2023,05-Mar-2025
RW034,Ramanujan Outer Ring Road,Bharath Infra Projects Pvt. Ltd.,21000000,19420323,Within budget,Prestressed concrete slabs | Bituminous concrete (60/70 grade) | High-strength bolts (Grade 8.8) | Expansion joints (neoprene) | Anti-glare screens | Thermoplastic road marking tape | High-mast LED lighting supports | Rubberised asphalt | RCC culverts (2m x 1.5m) | Geogrid reinforcement,03-Sep-2022,Passed,Kerb stone alignment and levelling checked. Within plus/minus 5mm tolerance.,01-Jan-2023,Conditional Pass,Reflective road studs missing at 2 km mark. Install and re-inspect. Rest of road approved.,04-Jul-2023,Passed,Anti-skid surface dressing properly applied. Skid resistance test passed.,27-Apr-2022,10-May-2023,21-May-2023,12-Nov-2023
RW035,Ennore Cross Street,Pioneer Infra Projects Pvt. Ltd.,46800000,46012289,Within budget,Prestressed concrete slabs | Bituminous concrete (60/70 grade) | High-strength bolts (Grade 8.8) | Expansion joints (neoprene) | Anti-glare screens | Thermoplastic road marking tape | High-mast LED lighting supports | Rubberised asphalt | RCC culverts (2m x 1.5m) | Geogrid reinforcement,09-Jul-2020,Failed,Riding quality index below acceptable value. Surface reworking required.,17-Aug-2021,Passed,Riding quality index satisfactory. Surface texture depth adequate.,03-Dec-2021,Passed,Bitumen content tested within acceptable range. Layer thickness meets IRC norms.,31-May-2020,30-Oct-2021,14-Nov-2021,08-Jun-2023
RW036,Nehru Bypass Road,National Highway Infra Builders,10000000,8833962,Within budget,Salt-resistant bituminous mix (coastal formulation) | Corrosion-resistant reinforcement (HYSD Fe415D) | Fibre-reinforced concrete (polypropylene fibres) | Marine-grade epoxy coating for kerbs | Anti-skid surface dressing | HDPE geo-membrane (damp-proofing) | LED cat eyes,04-Dec-2022,Passed,Drainage channels functional. Road markings and signage verified.,18-Jan-2023,Passed,Concrete cube strength at 28 days exceeds design strength. Approved.,10-Mar-2023,Passed,Load deflection within permissible limits as per IRC:58-2015.,03-Oct-2022,28-Feb-2023,23-Mar-2023,09-Oct-2024
RW037,Indira Tank Road,Sri Balaji Infrastructure Pvt. Ltd.,39900000,38987234,Within budget,Prestressed concrete slabs | Bituminous concrete (60/70 grade) | High-strength bolts (Grade 8.8) | Expansion joints (neoprene) | Anti-glare screens | Thermoplastic road marking tape | High-mast LED lighting supports | Rubberised asphalt | RCC culverts (2m x 1.5m) | Geogrid reinforcement,19-Feb-2022,Passed,Load deflection within permissible limits as per IRC:58-2015.,10-May-2022,Conditional Pass,Speed breaker height at 3rd location slightly above tolerance. Grind and re-inspect.,14-Aug-2022,Passed,All manhole covers flush with road surface. No tripping hazards found.,23-Mar-2021,22-Jun-2022,14-Jul-2022,28-Dec-2022
RW038,Bhagat Singh Tank Road,Green Road Solutions Pvt. Ltd.,12200000,11101669,Within budget,Reclaimed Asphalt Pavement (RAP) mix with virgin bitumen VG-40 | Stone matrix asphalt (SMA) top layer | Anti-stripping agent | Bituminous macadam (BM) Grade 1 | RCC box drains | Pre-cast concrete medians | Glass bead road marking | Steel crash barriers (W-beam type),22-Jan-2020,Passed,Crash barrier installation inspected. Meets MORTH standards.,27-Mar-2020,Passed,Sub-base CBR value above permissible limit. Approved to proceed.,11-May-2020,Passed,Speed breakers conform to IRC:99-2018 specifications. Heights verified.,22-May-2019,05-May-2020,05-Jun-2020,15-Sep-2020
RW039,Raman Extension Road,Maha Infrastructure Pvt. Ltd.,35600000,34843374,Within budget,Salt-resistant bituminous mix (coastal formulation) | Corrosion-resistant reinforcement (HYSD Fe415D) | Fibre-reinforced concrete (polypropylene fibres) | Marine-grade epoxy coating for kerbs | Anti-skid surface dressing | HDPE geo-membrane (damp-proofing) | LED cat eyes,10-Dec-2021,Passed,Crash barrier installation inspected. Meets MORTH standards.,15-Apr-2022,Passed,"All road furniture, lighting, and markings in place. Final audit cleared.",11-Aug-2022,Passed,Crash barrier installation inspected. Meets MORTH standards.,10-Aug-2021,19-Jun-2022,16-Jul-2022,09-Sep-2023
RW040,Chromepet Cross Street,Sri Balaji Infrastructure Pvt. Ltd.,58600000,51301814,Within budget,Dense Bituminous Macadam (DBM) Layer I & II | Open graded premix carpet (OGPC) | Bitumen VG-30 | Crushed stone aggregate (10mm & 6mm) | Cement concrete kerbs | Epoxy road marking paint | Speed breaker rubber pads | PVC stormwater pipes (315mm dia),18-Jun-2021,Passed,Geotextile fabric placement verified. No displacement observed.,27-Dec-2021,Passed,Anti-skid surface dressing properly applied. Skid resistance test passed.,22-Jun-2022,Passed,Riding quality index satisfactory. Surface texture depth adequate.,27-Dec-2020,09-May-2022,04-Jun-2022,16-Aug-2023
RW041,Arignar Inner Ring Road,Arjun Construction Group,64800000,61345207,Within budget,Salt-resistant bituminous mix (coastal formulation) | Corrosion-resistant reinforcement (HYSD Fe415D) | Fibre-reinforced concrete (polypropylene fibres) | Marine-grade epoxy coating for kerbs | Anti-skid surface dressing | HDPE geo-membrane (damp-proofing) | LED cat eyes,26-Dec-2021,Passed,Sub-grade moisture content within limits. No swelling observed.,02-Jan-2022,Passed,Thermoplastic markings retroreflectivity tested and found satisfactory.,08-Dec-2022,Passed,"Road surface free of bleeding, rutting, or cracking. Excellent condition.",06-Jul-2021,13-Nov-2022,24-Nov-2022,28-May-2023
RW042,Tondiarpet Inner Ring Road,Arunachalam Road Works,64300000,60982100,Within budget,Rigid pavement PQC M40 grade | Dowel bars (32mm dia MS) | Tie bars (16mm dia) | Joint sealant (Polyurethane) | Sub-base GSB (Granular Sub-Base) | Drainage cells (HDPE honeycomb) | Pre-fabricated expansion joints | Solar-powered road markers,07-Dec-2020,Passed,Concrete cube strength at 28 days exceeds design strength. Approved.,06-Feb-2021,Passed,Anti-skid surface dressing properly applied. Skid resistance test passed.,02-May-2021,Passed,Anti-skid surface dressing properly applied. Skid resistance test passed.,19-Sep-2020,25-Apr-2021,19-May-2021,18-Dec-2021
