contractor_id,contractor_name,registered_address,phone,email,gst_number,license_number,license_class,license_expiry_date,year_of_registration,experience_years,specialization,total_projects_handled,projects_completed,projects_ongoing,total_contract_value_inr,avg_contract_value_inr,performance_rating,rating_grade,payment_status,last_payment_received_date,pending_dues_inr,blacklist_status,blacklist_date,blacklist_reason,blacklist_lifted_date,blacklist_lifted_reason,performance_issues_noted,empanelled_with
CON011,Pioneer Infra Projects Pvt. Ltd.,"645, Guindy Ring Road, Trichy, Tamil Nadu - 600039",+91-7200743370,pioneer.roads@yahoo.co.in,33PLARN9905L1ZR,TN/PWD/ClassA/2010/726,Class A,17-Jun-2025,2010,15,Highway & Expressway Works,37,34,3,1110000000,30000000,4.4,Good,Cleared,11-Aug-2024,0,Active - Clean Record,N/A,N/A,N/A,N/A,Audit failure on sub-base layer - rectified,PWD Tamil Nadu | CMDA
CON012,Annamalai Construction Co.,"172, Guindy Nagar, Trichy, Tamil Nadu - 600084",+91-8690298113,annamalai.roads@roads.co.in,33YWBFF7352L1ZL,TN/PWD/ClassC/2001/199,Class C,14-Jan-2025,2001,24,Bituminous Road Construction,48,47,1,300000000,6250000,4.3,Good,Cleared,17-May-2024,0,Active - Clean Record,N/A,N/A,N/A,N/A,Delayed completion on 2 projects by over 60 days,TNRDC | CMDA | NHAI
CON013,South India Roads Ltd.,"399, Guindy Cross Street, Coimbatore, Tamil Nadu - 600019",+91-9282549984,south.roads@roads.co.in,33GLYAF6833L1ZO,TN/PWD/ClassA/2012/257,Class A,01-Jan-2025,2012,13,Highway & Expressway Works,35,34,1,1800000000,51428571,4.2,Good,Partially Cleared,06-Feb-2024,0,Active - Clean Record,N/A,N/A,N/A,N/A,None,Chennai Corporation (GCC) | CMDA | NHAI | PWD Tamil Nadu
CON014,Vel Murugan Builders,"787, Nungambakkam Avenue, Vellore, Tamil Nadu - 600072",+91-9963294491,vel.roads@outlook.com,33HJCNB0262K1ZF,TN/PWD/ClassA/2009/781,Class A,01-Sep-2028,2009,16,Bridge & Culvert Construction,17,14,3,670000000,39411764,4.4,Good,Cleared,10-Sep-2024,0,Active - Clean Record,N/A,N/A,N/A,N/A,None,PWD Tamil Nadu | NHAI | Chennai Metro Rail Ltd. | TNRDC
CON015,Lakshmi Infra Pvt. Ltd.,"408, Tambaram Nagar, Coimbatore, Tamil Nadu - 600100",+91-7682918928,lakshmi.roads@roads.co.in,33YLMZC0568G1ZR,TN/PWD/ClassAA/1995/224,Class AA,07-Apr-2027,1995,30,Rigid Pavement & Concrete Roads,9,6,3,1510000000,167777777,3.2,Average,Cleared,23-Feb-2025,0,Active - Clean Record,N/A,N/A,N/A,N/A,Audit failure on sub-base layer - rectified,Chennai Corporation (GCC) | NHAI | TNRDC | PWD Tamil Nadu
CON016,Arjun Construction Group,"80, Mylapore Main Road, Vellore, Tamil Nadu - 600035",+91-8724849831,arjun.roads@outlook.com,33WTUTA6041K1ZU,TN/PWD/ClassA/2011/413,Class A,17-May-2028,2011,14,Bridge & Culvert Construction,31,28,3,1500000000,48387096,3.1,Average,Cleared,18-Sep-2024,0,Active - Clean Record,N/A,N/A,N/A,N/A,None,Chennai Metro Rail Ltd. | Municipal Corporation Coimbatore | Chennai Corporation (GCC)
CON017,RK Road Works Pvt. Ltd.,"801, Nungambakkam Avenue, Trichy, Tamil Nadu - 600019",+91-8877310043,rk.roads@outlook.com,33TTPBL4108C1ZF,TN/PWD/ClassB/2001/217,Class B,09-Dec-2026,2001,24,Bridge & Culvert Construction,30,29,1,500000000,16666666,4.2,Good,Cleared,13-Jan-2024,0,Active - Clean Record,N/A,N/A,N/A,N/A,Subcontractor dispute causing 30-day delay,Chennai Metro Rail Ltd. | Chennai Corporation (GCC) | PWD Tamil Nadu
CON018,Saravana Civil Engineers Ltd.,"224, Perambur Cross Street, Salem, Tamil Nadu - 600045",+91-7428315638,saravana.roads@outlook.com,33SPSFF7544F1ZM,TN/PWD/ClassA/2018/630,Class A,01-Jan-2027,2018,7,Coastal & Marine Road Works,27,26,1,2280000000,84444444,2.9,Poor,Pending - Minor Delay,12-Jun-2024,4400000,Active - Clean Record,N/A,N/A,N/A,N/A,Audit failure on sub-base layer - rectified,CMDA | Municipal Corporation Coimbatore | Chennai Corporation (GCC)
CON019,Pandian Road Builders,"434, Anna Nagar Cross Street, Salem, Tamil Nadu - 600026",+91-9083130653,pandian.roads@gmail.com,33ECKWP3692G1ZM,TN/PWD/ClassA/1997/368,Class A,12-Jan-2025,1997,28,Flyover & Grade Separator Projects,48,47,1,680000000,14166666,4.1,Good,Cleared,21-May-2024,0,Active - Clean Record,N/A,N/A,N/A,N/A,None,NHAI | CMDA
CON020,Chennai Metro Infra Ltd.,"146, Nungambakkam Nagar, Chennai, Tamil Nadu - 600032",+91-8347778633,chennai.roads@roads.co.in,33DHTCZ0440K1ZF,TN/PWD/ClassAA/1999/564,Class AA,18-Jun-2025,1999,26,Highway & Expressway Works,53,53,0,380000000,7169811,2.8,Poor,Cleared,05-Jan-2025,0,Previously Blacklisted - Now Active,18-Feb-2017,Violation of safety norms causing worker fatality,20-Feb-2023,Court order lifted ban after dispute resolution,None,TNRDC
CON021,Maha Infrastructure Pvt. Ltd.,"160, Egmore Salai, Chennai, Tamil Nadu - 600082",+91-8413634176,maha.roads@yahoo.co.in,33ZYPGQ7700B1ZF,TN/PWD/ClassC/2006/877,Class C,10-Mar-2028,2006,19,Coastal & Marine Road Works,27,27,0,1730000000,64074074,4.1,Good,Cleared,01-Oct-2024,0,Active - Clean Record,N/A,N/A,N/A,N/A,None,TNRDC | Chennai Metro Rail Ltd. | NHAI
CON022,Ponni Constructions,"399, Chromepet Main Road, Erode, Tamil Nadu - 600091",+91-8351544112,ponni.roads@roads.co.in,33HAEZS2987A1ZA,TN/PWD/ClassA/2004/361,Class A,12-Jul-2027,2004,21,Flyover & Grade Separator Projects,28,26,2,1960000000,70000000,4.5,Excellent,Cleared,20-Mar-2024,0,Active - Clean Record,N/A,N/A,N/A,N/A,None,CMDA | NHAI | TNRDC | Municipal Corporation Coimbatore
CON023,Sun Infra Builders Ltd.,"516, Kodambakkam Industrial Estate, Madurai, Tamil Nadu - 600052",+91-8817797569,sun.roads@roads.co.in,33DYFCS9753G1Z4,TN/PWD/ClassAA/2002/743,Class AA,06-Jul-2026,2002,23,Urban Road & Drain Infrastructure,60,59,1,1790000000,29833333,3.0,Average,Cleared,06-Jan-2025,0,Blacklisted,15-Jul-2023,Multiple failed audits with no corrective action,N/A,N/A,Subcontractor dispute causing 30-day delay,CMDA | NHAI
CON024,Arunachalam Road Works,"980, Ambattur Industrial Estate, Erode, Tamil Nadu - 600024",+91-9137882897,arunachalam.roads@infra.in,33QRHTE9438R1ZS,TN/PWD/ClassC/2000/565,Class C,20-Oct-2028,2000,25,Bridge & Culvert Construction,76,73,3,2420000000,31842105,4.5,Excellent,Cleared,18-Jan-2024,0,Active - Clean Record,N/A,N/A,N/A,N/A,None,Chennai Corporation (GCC) | NHAI
CON025,Kavi Civil & Infrastructure Co.,"447, Anna Nagar Avenue, Erode, Tamil Nadu - 600114",+91-8030117842,kavi.roads@yahoo.co.in,33DUYPY9901Z1ZC,TN/PWD/ClassA/2002/889,Class A,12-Jan-2027,2002,23,Bituminous Road Construction,13,12,1,240000000,18461538,3.2,Average,Pending - Minor Delay,15-Apr-2024,1400000,Previously Blacklisted - Now Active,02-Aug-2018,Fraudulent billing of materials not used,03-May-2022,Court order lifted ban after dispute resolution,Late submission of completion certificates on 1 project,NHAI | TNRDC | Municipal Corporation Coimbatore
CON026,Green Road Solutions Pvt. Ltd.,"108, Mylapore Layout, Chennai, Tamil Nadu - 600022",+91-8906115389,green.roads@yahoo.co.in,33VKVUW3746W1ZU,TN/PWD/ClassC/1995/580,Class C,18-May-2025,1995,30,Rigid Pavement & Concrete Roads,50,50,0,190000000,3800000,4.9,Excellent,Dispute Resolved,10-Jul-2024,4500000,Active - Clean Record,N/A,N/A,N/A,N/A,Audit failure on sub-base layer - rectified,NHAI | Municipal Corporation Coimbatore | Chennai Metro Rail Ltd.
CON027,Prime Infra Developers Ltd.,"983, Mylapore Nagar, Tirunelveli, Tamil Nadu - 600041",+91-9436944774,prime.roads@infra.in,33EVRWZ0600G1Z7,TN/PWD/ClassB/2007/982,Class B,28-Apr-2027,2007,18,Urban Road & Drain Infrastructure,14,13,1,2880000000,205714285,3.4,Average,Pending - Minor Delay,22-Jul-2024,1100000,Previously Blacklisted - Now Active,29-Nov-2017,Fraudulent billing of materials not used,15-Jul-2021,Court order lifted ban after dispute resolution,Worker safety violation - fine imposed and paid,CMDA | TNRDC | Municipal Corporation Coimbatore | Chennai Corporation (GCC)
CON028,Sterling Road Builders,"313, Guindy Industrial Estate, Chennai, Tamil Nadu - 600046",+91-8537829001,sterling.roads@gmail.com,33DRPFY0298C1ZZ,TN/PWD/ClassA/1995/752,Class A,16-Jun-2026,1995,30,Flyover & Grade Separator Projects,54,53,1,1240000000,22962962,3.3,Average,Cleared,21-Feb-2025,0,Active - Clean Record,N/A,N/A,N/A,N/A,Minor billing discrepancy flagged in 2021 - closed,TNRDC | NHAI | Chennai Metro Rail Ltd. | Chennai Corporation (GCC)
CON029,Siva Shakti Construction Co.,"995, Chromepet Cross Street, Trichy, Tamil Nadu - 600060",+91-9571936899,siva.roads@gmail.com,33PTEZG8000C1Z7,TN/PWD/ClassAA/1997/180,Class AA,28-Dec-2025,1997,28,Bridge & Culvert Construction,55,53,2,940000000,17090909,3.8,Good,Pending - Minor Delay,25-Jan-2024,2800000,Active - Clean Record,N/A,N/A,N/A,N/A,None,Chennai Corporation (GCC) | NHAI | TNRDC
CON030,Bharath Infra Projects Pvt. Ltd.,"614, Mylapore Nagar, Salem, Tamil Nadu - 600006",+91-9089838366,bharath.roads@yahoo.co.in,33BPTFM2571F1ZU,TN/PWD/ClassAA/2000/306,Class AA,21-Mar-2026,2000,25,Flyover & Grade Separator Projects,17,15,2,460000000,27058823,4.5,Excellent,Cleared,02-Mar-2025,0,Active - Clean Record,N/A,N/A,N/A,N/A,Delayed completion on 2 projects by over 60 days,CMDA | Chennai Metro Rail Ltd. | PWD Tamil Nadu | NHAI
